sample_id,label,prediction,classification_correct,expected_logit,dense,categorical_ids,embedding_0,embedding_1,embedding_2,embedding_3,expected_bottom,expected_interaction
72,0,0,1,-1216,1886;808;-2763;-4028;1184;576;479;97,32;40;10;95,180;237;110;185;-25;135;93;-50,161;449;-262;-119;-273;78;-30;-398,-487;-383;58;-605;-107;-311;-274;-311,31;-97;-108;-41;275;-216;108;-266,700;0;1010;7553;0;0;0;9042,700;0;1010;7553;0;0;0;9042;577;-2270;58;-3742;-163;-28;-1368;-24;3;64
73,1,1,1,1465,777;-79;1046;2741;1716;1180;530;-2296,10;46;56;8,142;-109;-34;431;18;144;-80;152,99;5;185;-447;556;242;8;-381,610;-174;13;-172;-38;-179;227;134,-415;138;383;257;-274;-546;-33;-113,4376;3859;2072;0;0;2531;3098;0,4376;3859;2072;0;0;2531;3098;0;121;719;-97;1111;3;12;-964;-36;-159;-113
74,1,1,1,2097,2950;1066;-231;1393;-2612;-641;4258;-1416,38;23;95;119,-185;184;-60;177;377;495;383;-251,33;42;-240;-332;-304;-230;310;131,-421;-370;-79;29;272;-65;-337;62,-302;-344;97;270;-216;133;-400;-395,4099;4597;2460;1054;0;1950;6568;347,4099;4597;2460;1054;0;1950;6568;347;1719;499;-91;-2885;-27;-90;-2344;-17;-136;145
75,1,1,1,678,-1355;2002;2231;-1241;887;2501;-477;-706,41;9;54;11,188;-135;511;330;-408;-130;87;129,-94;-34;-261;-443;-36;-494;-61;-221,-211;-80;35;-242;109;-376;-690;-295,-135;-266;-136;45;229;33;-135;473,3384;0;0;0;0;1356;3191;1348,3384;0;0;0;0;1356;3191;1348;445;-723;-121;-1867;-90;200;-100;-45;-41;0
76,1,1,1,596,2381;-341;-1176;829;1261;-304;1638;661,16;75;56;47,178;35;-187;115;323;175;-191;238,367;131;293;-180;-365;-96;127;69,610;-174;13;-172;-38;-179;227;134,53;-127;-29;10;250;-55;121;34,1688;907;1550;286;0;1622;394;1169,1688;907;1550;286;0;1622;394;1169;274;545;-72;390;12;149;-34;33;-37;41
77,1,1,1,500,1802;565;276;688;921;-63;313;2320,63;71;38;17,-258;258;-70;-108;272;162;195;101,-427;-595;-208;-737;541;-548;-213;-170,91;11;130;293;117;285;-79;336,-15;-138;-171;224;-3;108;81;39,2617;2530;1853;0;0;2075;3732;0,2617;2530;1853;0;0;2075;3732;0;445;-2412;25;392;17;-206;-87;-4;-61;38
78,1,1,1,2778,29;-1821;3538;4037;-1191;453;-1794;-2904,60;18;46;113,-150;308;107;-260;124;8;-554;194,310;253;-196;-53;130;4;-256;-117,64;92;-277;308;12;-241;-128;47,-233;-260;234;583;60;-286;-62;297,6205;4800;3099;0;0;9609;1780;793,6205;4800;3099;0;0;9609;1780;793;60;987;78;-1233;-6;53;-2242;-36;-111;82
79,1,1,1,2476,5310;733;-1461;4370;1959;1008;-522;-529,33;30;67;80,-256;23;-193;149;-93;-20;-347;-179,64;623;-160;-338;-42;436;-259;-115,21;334;-149;-242;-48;155;219;79,-197;62;-217;87;-350;337;-238;-194,8077;6024;4720;0;0;4875;7934;0,8077;6024;4720;0;0;4875;7934;0;-2779;1751;41;1939;-46;156;-1215;122;135;14
80,1,1,1,944,1399;1692;-1125;1450;-116;-4153;3123;2371,21;59;64;121,-72;215;174;-314;-71;101;-293;-132,388;159;-49;-157;-246;14;-111;-84,-187;-94;122;-260;72;145;124;92,44;725;98;339;152;614;212;203,2721;4232;1722;1356;0;3443;6238;0,2721;4232;1722;1356;0;3443;6238;0;-436;384;53;109;28;-44;3541;13;2;-4
81,1,0,0,-183,382;-1965;374;1143;4315;1795;-2650;-303,16;19;22;34,178;35;-187;115;323;175;-191;238,-50;165;175;-40;-28;77;-11;211,137;-400;162;169;73;67;355;218,101;102;40;512;75;87;-130;209,3946;0;2129;0;0;4441;0;5167,3946;0;2129;0;0;4441;0;5167;1129;785;8;1128;9;-3;952;91;24;37
82,0,0,1,-1439,962;-2580;629;-1342;2297;-299;-430;4483,3;16;15;57,-341;309;108;222;235;272;10;-414,289;35;-12;-217;177;-241;-48;-268,63;570;264;288;65;21;303;437,313;17;246;241;-355;356;-36;203,413;110;0;2734;0;1862;0;3203,413;110;0;2734;0;1862;0;3203;-156;-868;-25;1130;44;-75;1027;-45;-81;110
83,0,0,1,-2832,-2997;96;-1116;-1871;-2345;1269;-132;-1465,13;65;56;57,-45;-71;-115;-121;69;-80;-370;-62,-379;132;-452;-37;250;-308;282;-301,610;-174;13;-172;-38;-179;227;134,313;17;246;241;-355;356;-36;203,0;0;0;7591;0;2686;53;9549,0;0;0;7591;0;2686;53;9549;-852;-1937;10;-242;-37;-90;2306;-61;-247;58
84,0,0,1,-2332,-2907;9;511;-2620;-1569;1812;2380;2923,50;15;31;76,-1;315;-352;-376;277;-56;-156;-178,150;-107;278;-436;185;13;136;-188,-232;-123;-168;449;-331;447;241;141,-41;7;-158;-287;-119;22;7;57,0;0;0;5582;0;3897;0;5221,0;0;0;5582;0;3897;0;5221;-1585;-1643;46;2434;-160;-153;-595;59;21;-17
85,1,1,1,1093,-726;-609;-584;3262;-625;831;358;-51,3;46;65;40,-341;309;108;222;235;272;10;-414,99;5;185;-447;556;242;8;-381,-180;185;-69;-35;-139;18;-108;295,268;39;-104;-113;133;210;-294;-145,3405;2685;1559;0;0;3557;1768;1281,3405;2685;1559;0;0;3557;1768;1281;142;501;119;13;-23;-98;438;15;115;-27
86,0,0,1,-1191,-2378;881;13;663;-1136;-555;-436;2069,4;46;35;34,-205;-396;-374;71;-376;-272;247;68,99;5;185;-447;556;242;8;-381,-13;-354;-37;579;100;-119;268;667,101;102;40;512;75;87;-130;209,837;674;0;2581;0;3660;2508;1802,837;674;0;2581;0;3660;2508;1802;-248;-414;-206;1310;148;-241;900;-53;-112;175
87,0,0,1,-1790,-1269;1399;-3698;129;562;1664;-2699;5393,0;74;68;83,207;-98;-154;-232;311;-71;95;24,344;579;-125;-149;-53;37;-129;-103,286;70;-281;140;70;-48;-195;140,-153;62;14;84;-249;-165;-228;-202,1945;0;9;5912;0;3812;0;6714,1945;0;9;5912;0;3812;0;6714;-527;-373;17;1044;36;77;-872;-74;13;-12
88,1,1,1,774,-2001;855;1890;-565;1126;-3922;-3763;-5122,47;2;68;100,-55;115;-60;-225;46;-185;188;167,67;-143;-35;-386;-386;130;88;-55,286;70;-281;140;70;-48;-195;140,25;-542;205;382;-267;-204;74;447,2600;2293;2628;0;0;5126;4089;3742,2600;2293;2628;0;0;5126;4089;3742;199;281;17;-173;-11;-45;142;-23;-8;2
89,1,1,1,2673,-38;2266;1490;3506;-1581;-2921;-182;-1018,51;50;48;95,-84;-10;125;161;-17;105;76;-144,158;131;419;-140;243;371;-78;45,-399;9;221;-187;-13;-3;-452;-104,31;-97;-108;-41;275;-216;108;-266,5141;7096;1839;0;0;5516;10061;0,5141;7096;1839;0;0;5516;10061;0;523;1843;18;-3001;6;41;-406;-1;-40;-26
90,1,1,1,451,1124;88;-232;851;4298;-4132;-1880;-175,3;13;77;56,-341;309;108;222;235;272;10;-414,-85;-372;267;19;259;1;-374;-301,295;-213;204;91;-118;94;61;449,-109;560;230;-155;-472;194;18;31,1974;1618;1399;0;0;2206;3877;206,1974;1618;1399;0;0;2206;3877;206;259;-931;63;517;-152;-38;741;63;-136;-14
91,1,0,0,-1425,1775;3380;-1833;-2556;1791;-2423;-116;-1252,20;7;26;98,-39;577;198;-84;-223;269;392;-107,264;-330;-383;-550;125;17;-31;-431,-155;82;385;301;306;-137;-217;-8,59;353;368;333;-240;413;305;27,2603;0;2558;4944;0;0;2617;6524,2603;0;2558;4944;0;0;2617;6524;155;-2883;-107;708;-42;-164;1814;258;-229;32
92,1,1,1,1250,-2302;3831;-1645;1824;2782;-1325;2094;-859,9;62;16;93,317;208;-340;54;-371;-186;116;-195,736;285;328;212;-133;67;211;116,25;607;-94;530;139;276;185;497,-603;-446;-292;191;582;-193;-66;79,4193;1488;1318;1278;0;1412;6569;2700,4193;1488;1318;1278;0;1412;6569;2700;602;2933;113;2201;8;180;-1868;-184;-352;-50
93,0,0,1,-805,2556;-3834;630;-1786;1920;-3279;-1190;-1508,46;24;19;51,119;294;401;-143;126;110;-342;-134,97;66;10;-297;-372;230;92;50,5;137;-177;220;-112;117;101;-83,6;-216;-59;-380;362;91;248;-72,0;0;1389;270;531;4962;0;3789,0;0;1389;270;531;4962;0;3789;304;521;9;10;-42;8;91;-25;2;-50
94,1,1,1,407,-112;-335;-811;1145;-1193;-3749;-3479;801,3;25;69;58,-341;309;108;222;235;272;10;-414,-90;-143;441;-58;111;-29;44;87,-419;-378;-276;75;-75;18;12;-163,235;-23;11;73;-312;-361;92;-28,1478;1331;298;223;0;5849;1434;1856,1478;1331;298;223;0;5849;1434;1856;403;-73;2;-668;33;-28;-828;-112;-19;-32
95,0,0,1,-860,186;-323;-4358;2139;-1012;3988;309;-2451,58;25;8;22,0;-286;-212;-83;-5;41;-200;-135,-90;-143;441;-58;111;-29;44;87,61;2;415;285;-162;354;342;-2,128;152;-413;-207;-117;213;-63;339,4301;588;1729;4555;0;0;0;8474,4301;588;1729;4555;0;0;0;8474;-1004;373;-34;1105;-81;72;906;18;-96;-73
96,1,1,1,1727,942;319;1290;1056;-2431;-4142;-393;4441,41;51;49;114,188;-135;511;330;-408;-130;87;129,114;102;310;54;128;447;281;308,258;24;186;424;181;241;254;306,56;330;210;417;62;93;122;-117,3870;4626;2132;0;0;5547;7584;0,3870;4626;2132;0;0;5547;7584;0;552;3020;67;2329;116;200;1774;83;86;130
97,0,0,1,-2116,-1787;-1249;12;-2607;-3169;2235;1352;1392,43;36;72;37,478;152;150;-158;283;-99;-153;-123,-168;-43;-55;-171;223;388;-303;-258,45;58;-205;-143;-117;-19;-578;-45,-229;-11;-151;320;213;134;-163;141,0;0;0;5216;0;4400;0;6866,0;0;0;5216;0;4400;0;6866;-1027;-467;17;-556;41;87;1576;-63;51;17
98,0,0,1,-291,872;-553;-1875;1768;879;-59;-2442;1621,32;19;57;63,180;237;110;185;-25;135;93;-50,-50;165;175;-40;-28;77;-11;211,-90;114;404;-138;184;0;302;-68,268;272;167;-333;163;315;-170;268,2222;492;1198;786;0;3588;329;3315,2222;492;1198;786;0;3588;329;3315;558;547;20;52;28;37;1284;38;74;39
99,1,1,1,1482,-466;2769;1671;775;-389;1441;-2664;-1996,47;76;11;56,-55;115;-60;-225;46;-185;188;167,-319;-43;337;293;172;355;104;122,-52;-61;49;-266;-291;-279;-7;544,-109;560;230;-155;-472;194;18;31,5738;4369;853;0;0;2820;5924;0,5738;4369;853;0;0;2820;5924;0;355;-55;-45;-660;88;-61;1304;21;18;61
100,0,0,1,-1071,-557;-3773;-522;3441;-729;1950;-2317;-2370,36;20;11;1,-87;299;308;-2;173;86;29;-82,436;373;17;65;85;175;477;-102,-52;-61;49;-266;-291;-279;-7;544,47;-2;-55;418;-346;-113;-35;80,2672;319;1561;0;0;8313;0;8054,2672;319;1561;0;0;8313;0;8054;194;949;64;967;-57;-95;-125;-49;-14;29
101,0,0,1,-1357,-1069;-177;-1237;1087;-890;161;-2001;590,10;76;77;44,142;-109;-34;431;18;144;-80;152,-319;-43;337;293;172;355;104;122,295;-213;204;91;-118;94;61;449,99;211;325;315;-271;94;-507;330,444;32;0;2465;0;3525;0;3592,444;32;0;2465;0;3525;0;3592;1062;1108;68;1119;84;41;1144;105;66;116
102,0,0,1,-771,2740;-4471;-587;-3089;-719;2416;-1746;571,11;0;10;95,41;-54;-320;-21;-103;-166;-6;228,146;103;62;-7;-9;-164;166;-80,-487;-383;58;-605;-107;-311;-274;-311,31;-97;-108;-41;275;-216;108;-266,0;0;1695;0;0;7410;0;7461,0;0;1695;0;0;7410;0;7461;-35;-834;-5;-2210;-6;-35;-1840;-6;29;64
103,0,0,1,-326,124;456;-1615;717;-784;-67;1220;1524,45;59;30;56,31;493;16;543;-450;416;-43;68,388;159;-49;-157;-246;14;-111;-84,9;13;78;600;537;478;37;339,-109;560;230;-155;-472;194;18;31,780;1164;898;2231;0;1482;1767;968,780;1164;898;2231;0;1482;1767;968;1187;-80;59;1237;153;-122;379;238;85;-107
104,1,1,1,1157,-2720;579;4123;-715;136;-2403;-1035;-1044,53;33;28;13,599;-80;222;391;-541;-197;512;-13,120;390;97;81;158;12;507;89,-14;-99;-80;98;-326;255;57;372,-217;61;-81;-277;471;-200;160;-421,1867;1886;230;0;0;5243;3723;0,1867;1886;230;0;0;5243;3723;0;924;1432;129;644;83;-13;-372;-190;41;-183
105,0,0,1,-1905,-1849;1127;-1273;-3201;586;-3361;2519;983,44;43;23;46,-63;419;186;-108;-298;-279;57;67,71;67;281;361;-48;-171;-380;-191,19;42;-34;36;74;692;111;495,137;-90;-285;-253;-125;135;-242;-13,0;0;0;7709;0;940;0;7294,0;0;0;7709;0;940;0;7294;-296;600;31;2216;-83;-123;-937;-43;-44;25
106,1,1,1,1892,-1289;3248;-313;2516;-2448;-1371;-904;-3566,13;55;55;48,-45;-71;-115;-121;69;-80;-370;-62,234;44;-406;-258;118;61;93;-129,157;45;51;184;-94;-194;-66;175,-453;36;64;4;61;-148;-195;-137,5066;5845;919;923;0;1890;8184;0,5066;5845;919;923;0;1890;8184;0;-1972;834;20;180;-8;-40;-1903;52;-65;-26
107,1,1,1,1123,4721;-2277;253;1110;-3820;2234;-986;1525,35;56;24;114,-158;169;120;53;-711;-104;239;789,-366;-553;-251;-253;178;5;134;-170,-203;-199;224;14;-221;-167;-95;-25,56;330;210;417;62;93;122;-117,4821;1488;4650;0;0;7308;0;1732,4821;1488;4650;0;0;7308;0;1732;319;-1959;-151;-731;77;37;1081;-11;-153;-30
108,0,0,1,-1719,-2028;-2158;-1952;1302;-3557;-4323;2073;-177,16;48;8;12,178;35;-187;115;323;175;-191;238,-175;475;143;58;-204;688;57;232,61;2;415;285;-162;354;342;-2,-214;-352;83;-189;299;323;-94;105,0;1513;448;4740;0;4801;0;6992,0;1513;448;4740;0;4801;0;6992;1474;2921;31;1575;-44;177;436;53;25;0
109,1,1,1,396,699;-940;2264;1653;3102;1643;-4876;1407,52;4;70;43,216;306;368;133;191;349;285;187,37;-124;-140;215;-321;-162;-466;-125,512;-65;-290;255;-459;-2;68;-31,118;249;-2;-66;7;165;62;255,5889;2017;2811;0;0;6048;427;3534,5889;2017;2811;0;0;6048;427;3534;2840;-999;-160;965;-28;118;1522;106;-64;10
110,0,0,1,-773,-2553;-459;1227;-777;170;4583;-1302;1589,4;28;62;82,-205;-396;-374;71;-376;-272;247;68,-172;-78;-158;-418;-174;77;-134;-33,-134;-542;310;-244;-101;65;-160;-166,2;1;-18;-363;281;-271;-667;-151,2531;0;0;3003;0;4139;0;6160,2531;0;0;3003;0;4139;0;6160;-494;-769;51;-891;38;82;-1532;-111;87;82
111,0,0,1,-1069,2342;-3387;-3526;-499;1278;-1287;727;3719,54;69;5;119,663;645;-40;137;316;-11;-239;-222,-68;331;-91;-65;68;244;-22;109,177;-450;-191;-383;182;-184;-59;-84,-302;-344;97;270;-216;133;-400;-395,0;317;468;5180;0;2886;0;6040,0;317;468;5180;0;2886;0;6040;-233;531;80;-1589;-61;-78;-326;-134;-67;-13
112,1,1,1,1817,-90;675;4019;1472;1281;1531;-1850;-1394,57;35;41;28,60;-51;-75;241;-210;170;-239;-23,-351;98;342;-296;390;145;-331;-116,47;-359;4;-406;-176;114;-15;-151,-316;127;-136;-170;164;-91;204;43,5461;5267;2432;0;0;4681;4652;0,5461;5267;2432;0;0;4681;4652;0;-215;-698;-48;-567;-7;20;-422;-76;51;-20
113,0,0,1,-1426,-3791;520;8;1399;-780;2525;3702;1236,30;71;6;113,469;287;9;138;-404;311;189;-104,-427;-595;-208;-737;541;-548;-213;-170,-230;-378;-233;137;267;-16;-38;-37,-233;-260;234;583;60;-286;-62;297,1561;0;0;3925;0;2615;1894;2722,1561;0;0;3925;0;2615;1894;2722;1056;-2861;-433;-17;-154;214;912;-126;-35;92
114,1,1,1,1420,2768;-2531;-1264;2118;973;-1120;-3460;1097,43;30;5;61,478;152;150;-158;283;-99;-153;-123,64;623;-160;-338;-42;436;-259;-115,177;-450;-191;-383;182;-184;-59;-84,-280;-157;-177;-94;386;-265;60;-336,2979;472;2195;0;0;6295;0;3724,2979;472;2195;0;0;6295;0;3724;363;1196;75;-769;67;-84;-2059;-1;-80;115
115,0,0,1,-2252,-208;329;-3276;-1586;-2673;-53;3382;-447,20;1;9;53,-39;577;198;-84;-223;269;392;-107,-117;523;284;-83;-329;88;-718;-28,288;299;32;195;-166;372;211;485,21;-787;-276;-132;-233;-264;-116;20,0;544;894;9098;0;0;268;8499,0;544;894;9098;0;0;268;8499;-526;-316;92;3000;156;18;-848;-276;-169;-165
116,0,0,1,-845,-4357;-486;1832;1647;328;-1105;1457;896,33;59;81;88,-256;23;-193;149;-93;-20;-347;-179,388;159;-49;-157;-246;14;-111;-84,-341;-371;56;176;108;-26;-455;199,304;-10;108;465;72;-226;165;-123,471;454;0;2191;0;4049;1455;2327,471;454;0;2191;0;4049;1455;2327;-384;-190;-16;-121;101;-105;96;-33;4;-48
117,1,1,1,1458,3243;99;-1246;1271;855;-1067;-3071;-1286,33;19;72;16,-256;23;-193;149;-93;-20;-347;-179,-50;165;175;-40;-28;77;-11;211,45;58;-205;-143;-117;-19;-578;-45,-213;319;-305;227;119;-356;86;-9,3278;1597;2785;0;0;4221;3594;1316,3278;1597;2785;0;0;4221;3594;1316;-1419;562;-27;-1244;111;-12;-1096;60;-16;-9
118,1,1,1,583,135;1045;105;13;340;-784;-1394;-1012,51;31;64;12,-84;-10;125;161;-17;105;76;-144,277;-283;-327;-103;67;-396;22;64,-187;-94;122;-260;72;145;124;92,-214;-352;83;-189;299;323;-94;105,1719;1280;1191;0;0;1690;2690;772,1719;1280;1191;0;0;1690;2690;772;128;-408;-63;172;0;-40;-169;4;-34;97
119,1,1,1,1316,902;-311;-469;2720;-3678;908;539;1496,21;1;71;42,-72;215;174;-314;-71;101;-293;-132,-117;523;284;-83;-329;88;-718;-28,40;-68;115;-470;231;171;62;-240,228;475;-89;384;487;376;135;157,4591;3774;2557;0;0;4561;4126;123,4591;3774;2557;0;0;4561;4126;123;79;-196;216;599;80;-33;2394;-52;-31;-32
120,0,0,1,-2588,-7429;-1214;1503;854;1128;-1744;418;-3376,49;0;7;45,-278;-149;133;-207;-266;89;-228;57,146;103;62;-7;-9;-164;166;-80,-102;-100;489;43;97;235;-287;10,290;114;-203;-278;1;-264;-26;179,0;0;0;6410;0;5671;0;8157,0;0;0;6410;0;5671;0;8157;-174;-795;-49;825;78;-41;-888;-36;33;-100
121,1,0,0,-675,2036;441;-2538;-160;3040;-1734;-3609;4039,61;69;70;36,231;-180;434;397;649;258;13;135,-68;331;-91;-65;68;244;-22;109,512;-65;-290;255;-459;-2;68;-31,335;-461;180;179;46;650;-41;315,1794;0;1247;927;0;2198;949;3323,1794;0;1247;927;0;2198;949;3323;1148;284;-9;366;-96;-41;1674;268;-3;78
122,1,1,1,3070,1821;1575;751;4209;-1127;-2585;-2136;-3849,2;53;74;8,203;32;-68;32;293;314;-326;-187,5;423;1;163;-93;54;110;183,-125;-78;-424;13;-218;-113;3;-213,-415;138;383;257;-274;-546;-33;-113,6586;7148;2734;0;0;6347;10103;0,6586;7148;2734;0;0;6347;10103;0;39;2204;-30;-1576;-29;-28;-2197;-155;34;13
123,0,0,1,-2183,-1491;-2619;119;192;5179;6728;477;107,36;78;50;63,-87;299;308;-2;173;86;29;-82,-382;-101;-503;-415;416;62;-244;-516,60;-1;-152;142;15;66;-115;-72,268;272;167;-333;163;315;-170;268,5070;0;1304;0;0;4266;0;8660,5070;0;1304;0;0;4266;0;8660;-187;-3319;-19;-115;-20;34;2559;68;-42;-16
124,0,0,1,-4022,1160;-4264;-4020;-1122;50;1611;-3698;-2250,61;39;63;55,231;-180;434;397;649;258;13;135,86;-119;86;-35;221;371;258;-203,26;93;481;150;-223;77;-60;-55,-118;-298;189;147;-34;194;-340;214,0;0;1691;6010;0;6364;0;15061,0;0;1691;6010;0;6364;0;15061;3318;-372;137;672;61;1;2764;107;-15;55
125,1,0,0,-102,-2041;-886;1466;2273;-3185;-120;53;-299,60;12;13;124,-150;308;107;-260;124;8;-554;194,173;267;-221;-237;-83;-299;444;36,-598;-397;-459;-123;-188;-361;-203;505,-20;67;136;154;-95;368;-401;329,2449;2002;220;851;0;5994;1186;2641,2449;2002;220;851;0;5994;1186;2641;-22;-226;-77;-1726;66;-13;1389;134;-156;18
126,0,0,1,-1,-3932;2219;3111;-936;-661;-3314;2106;4235,29;21;5;42,-195;520;4;174;-21;109;4;78,-315;-5;-270;-363;313;-71;-144;-521,177;-450;-191;-383;182;-184;-59;-84,228;475;-89;384;487;376;135;157,1560;1881;0;2233;0;4410;5989;0,1560;1881;0;2233;0;4410;5989;0;765;-1214;-30;-1265;-179;127;2233;153;-81;-149
127,1,1,1,1383,462;3435;-324;3;318;1202;909;825,26;51;5;1,5;-145;423;71;-317;516;54;-93,114;102;310;54;128;447;281;308,177;-450;-191;-383;182;-184;-59;-84,47;-2;-55;418;-346;-113;-35;80,4280;2199;1021;748;0;293;6074;824,4280;2199;1021;748;0;293;6074;824;288;1543;145;-583;-93;-101;134;24;-34;-91
128,0,0,1,-928,-232;31;-423;-2687;-1147;-1957;-1298;-638,54;8;17;3,663;645;-40;137;316;-11;-239;-222,17;227;351;442;312;107;166;111,-2;-573;187;55;11;-217;176;-48,-382;-319;-86;-143;-156;206;-101;-134,0;0;987;4544;0;2427;41;5710,0;0;987;4544;0;2427;41;5710;-352;1589;116;-175;-194;-18;-490;-231;-113;50
129,0,0,1,-1707,199;2523;-3899;-1022;-159;1039;1978;-2401,11;4;66;0,41;-54;-320;-21;-103;-166;-6;228,37;-124;-140;215;-321;-162;-466;-125,151;-65;7;-6;-688;-554;110;399,152;-424;-179;88;82;394;-266;-136,2547;0;1413;8616;0;0;2081;9919,2547;0;1413;8616;0;0;2081;9919;840;-225;40;2212;127;108;-493;-9;75;-151
130,0,0,1,-243,2258;-2811;187;543;2337;3064;1158;2304,63;58;0;109,-258;258;-70;-108;272;162;195;101,8;91;-444;44;-282;-43;-131;-254,-123;163;-19;454;-201;263;-148;278,-40;20;216;227;-213;421;-256;549,3260;370;2687;0;0;2562;0;3314,3260;370;2687;0;0;2562;0;3314;-90;-1018;-43;588;6;18;1638;-4;-72;220
131,0,0,1,-2767,-3121;-1374;693;-661;-1974;-5040;-237;-934,63;64;43;101,-258;258;-70;-108;272;162;195;101,-225;-177;-210;-418;-78;-15;-253;-135,70;-304;544;135;116;367;414;583,223;282;514;520;-67;69;95;264,0;822;0;3176;0;5211;0;5760,0;822;0;3176;0;5211;0;5760;632;-1137;-7;2661;40;-161;1838;-19;-235;239
132,0,0,1,-893,1050;-728;-772;-847;1720;176;-1413;2666,44;57;27;18,-63;419;186;-108;-298;-279;57;67,-331;5;324;-22;-52;-208;-177;56,-55;-204;55;-87;78;247;-498;91,428;-354;-97;253;408;-24;-42;-35,630;0;186;1791;0;1331;0;2912,630;0;186;1791;0;1331;0;2912;-183;-147;75;202;-86;36;279;-166;-93;32
133,1,1,1,948,1486;559;1718;936;-2977;-580;-736;522,35;21;40;14,-158;169;120;53;-711;-104;239;789,-315;-5;-270;-363;313;-71;-144;-521,-297;-116;-88;54;-108;94;-40;-122,104;-13;291;321;204;348;272;-187,3583;3845;1816;0;0;4894;4932;0,3583;3845;1816;0;0;4894;4932;0;474;-1316;-324;-687;-9;62;1902;-113;-64;-7
134,1,1,1,1650,-1754;3231;-63;2127;-949;193;-857;1323,29;53;23;31,-195;520;4;174;-21;109;4;78,5;423;1;163;-93;54;110;183,19;42;-34;36;74;692;111;495,-144;176;220;246;-150;59;-161;119,4518;4895;415;607;0;2940;7592;0,4518;4895;415;607;0;2940;7592;0;1036;1556;132;1551;67;77;-292;89;66;37
135,0,0,1,-3695,-1010;-1854;-3900;-4934;-173;2340;2884;3204,61;69;84;107,231;-180;434;397;649;258;13;135,-68;331;-91;-65;68;244;-22;109,-222;64;296;153;78;226;-127;618,65;-28;-216;47;-470;-29;247;112,0;0;0;10596;0;2728;0;11937,0;0;0;10596;0;2728;0;11937;3185;624;-9;4695;155;63;857;-171;-14;-38
136,0,0,1,-2340,-125;-3374;-1170;432;1062;-34;862;-1246,28;27;14;118,-365;-332;268;232;-169;-383;-529;-69,268;448;422;-230;-76;-95;-172;-171,61;230;-54;6;-210;466;-56;562,-34;-428;121;110;-129;142;47;14,0;0;409;2764;0;3087;0;6708,0;0;409;2764;0;3087;0;6708;-437;-929;-17;2540;-129;-10;433;75;-92;-4
137,0,0,1,-404,3002;-1399;-2328;-1234;5599;3684;1639;3666,37;35;53;51,254;-38;-279;-197;171;-85;39;112,-351;98;342;-296;390;145;-331;-116,-205;123;334;95;-15;180;-110;-153,6;-216;-59;-380;362;91;248;-72,3418;0;1731;585;0;1904;0;6615,3418;0;1731;585;0;1904;0;6615;415;-621;-50;-360;-102;119;-296;77;73;-43
138,0,0,1,-1103,-438;1159;382;-2465;1661;-462;-219;-115,26;14;4;40,5;-145;423;71;-317;516;54;-93,52;-217;-30;-422;-342;-40;-407;-240,-62;-57;-548;239;-124;112;-273;311,268;39;-104;-113;133;210;-294;-145,484;0;316;2641;0;483;920;3661,484;0;316;2641;0;483;920;3661;138;-1158;38;669;-75;0;-440;4;77;26
139,0,0,1,-367,-435;-1692;-129;2195;-807;-220;-977;-439,25;42;91;6,425;19;222;-43;117;-106;-175;288,-199;132;14;-160;168;-117;-400;-359,214;394;599;65;-635;402;-82;314,-479;-296;-256;67;15;-626;93;-417,1792;853;838;0;0;4664;0;3586,1792;853;838;0;0;4664;0;3586;734;-1008;-36;2062;106;-110;-2803;-165;112;-375
140,0,0,1,-731,-3146;815;411;353;1839;1832;1413;1700,60;5;3;74,-150;308;107;-260;124;8;-554;194,-15;-178;52;124;379;54;-281;-117,-152;-233;156;304;-254;-424;-521;-5,191;104;195;-62;235;131;-75;-19,1389;0;0;2785;0;2264;953;3133,1389;0;0;2785;0;2264;953;3133;-407;-92;49;-408;69;57;126;53;49;-57
141,1,1,1,1606,-2037;-1683;3417;2317;3346;-1088;178;-3534,63;68;93;8,-258;258;-70;-108;272;162;195;101,244;413;334;-203;-133;42;-133;91,-9;188;-185;54;-215;-77;192;-33,-415;138;383;257;-274;-546;-33;-113,3010;2782;1982;0;0;4611;3300;443,3010;2782;1982;0;0;4611;3300;443;604;1143;-2;192;10;0;-1359;-45;19;35
142,0,0,1,-794,1344;-854;447;-2072;-2128;535;-60;2535,51;0;77;57,-84;-10;125;161;-17;105;76;-144,146;103;62;-7;-9;-164;166;-80,295;-213;204;91;-118;94;61;449,313;17;246;241;-355;356;-36;203,901;0;781;712;0;3518;201;1732,901;0;781;712;0;3518;201;1732;133;-248;0;786;-15;-3;1095;27;-8;159
143,0,1,0,249,-3733;-1007;2145;-153;4492;1603;-360;-241,55;2;62;10,-228;270;342;22;-301;51;453;427,67;-143;-35;-386;-386;130;88;-55,-134;-542;310;-244;-101;65;-160;-166,-5;-314;-62;-113;231;-397;-347;-542,1996;0;0;400;0;3713;785;5174,1996;0;0;400;0;3713;785;5174;1127;120;32;-541;-61;95;-2249;-286;-25;135
144,1,1,1,2174,1887;2583;-743;2269;-281;-1066;-1446;892,35;72;37;31,-158;169;120;53;-711;-104;239;789,-260;317;-354;-797;-105;31;376;-255,175;16;-143;-117;-209;-42;-168;-55,-144;176;220;246;-150;59;-161;119,5081;5538;2502;0;0;3758;8685;0,5081;5538;2502;0;0;3758;8685;0;1034;1431;-15;-487;10;37;-187;121;-124;-16
